op_code;operation;endpoint;score_proxy
ab1;{'admin_get_all_contacts'};{'GET:/api/v1/adminbasicservice/adminbasic/contacts'};{0.17066675897465836}
ab2;{'admin_get_all_prices'};{'GET:/api/v1/adminbasicservice/adminbasic/prices'};{0.1975951127362461}
ab3;{'admin_modify_contact'};{'PUT:/api/v1/adminbasicservice/adminbasic/contacts'};{0.15459514008031786}
ab4;{'admin_modify_price'};{'PUT:/api/v1/adminbasicservice/adminbasic/prices'};{0.19529264253006173}
ao1;{'admin_create_order'};{'POST:/api/v1/adminorderservice/adminorder'};{0.17143177614710883}
ao2;{'admin_get_all_orders'};{'GET:/api/v1/adminorderservice/adminorder'};{0.18042811376346923}
ao3;{'admin_update_order'};{'PUT:/api/v1/adminorderservice/adminorder'};{0.233842762203414}
ar1;{'admin_get_all_routes'};{'GET:/api/v1/adminrouteservice/adminroute'};{0.22021164218062528}
as1;{'get_assurance_types'};{'GET:/api/v1/assuranceservice/assurances/types'};{0.2843121081265697}
at1;{'admin_create_travel'};{'POST:/api/v1/admintravelservice/admintravel'};{0.17331706821570547}
at2;{'admin_get_all_travels'};{'GET:/api/v1/admintravelservice/admintravel'};{0.4073436919898226}
at3;{'admin_uptdate_travel'};{'PUT:/api/v1/admintravelservice/admintravel'};{0.2043035433250605}
au1;{'admin_add_random_user'};{'POST:/api/v1/adminuserservice/users'};{0.03466877389817761}
au2;{'admin_get_all_users'};{'GET:/api/v1/adminuserservice/users'};{0.15093551255370538}
ca1;{'cancel_order'};{'GET:/api/v1/cancelservice/cancel/{orderId}/{loginId}'};{0.14473515839149426}
ca2;{'cancel_refund_order'};{'GET:/api/v1/cancelservice/cancel/refound/{orderId}'};{0.21626020354815115}
co1;{'query_contacts'};{'GET:/api/v1/contactservice/contacts/account/{accountId}'};{0.21104434279363304}
ex1;{'collect_ticket'};{'GET:/api/v1/executeservice/execute/collected/{orderId}'};{0.18830276883035227}
ex2;{'execute_ticket'};{'GET:/api/v1/executeservice/execute/execute/{orderId}'};{0.19412394075295886}
fo1;{'get_food_types'};{'GET:/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}'};{0.18471415505002073}
ip1;{'pay_order_other', 'pay_order_hs'};{'POST:/api/v1/inside_pay_service/inside_payment'};{0.12276786192496239}
oh1;{'get_order_information_hs'};{'POST:/api/v1/orderservice/order/refresh'};{0.04726187170378335}
oo1;{'get_order_information_other'};{'POST:/api/v1/orderOtherService/orderOther/refresh'};{0.04980519747688684}
ph1;{'preserve_ticket_hs'};{'POST:/api/v1/preserveservice/preserve'};{0.22095248666445677}
po1;{'preserve_ticket_other'};{'POST:/api/v1/preserveotherservice/preserveOther'};{0.22436076421851928}
th1;{'search_travel_hs_logged', 'search_travel_hs_external'};{'POST:/api/v1/travelservice/trips/left'};{0.3447670404728283}
to1;{'search_travel_other_logged', 'search_travel_other_external'};{'POST:/api/v1/travel2service/trips/left'};{0.341921101089875}
tp1;{'get_travel_plan'};{'POST:/api/v1/travelplanservice/travelPlan/cheapest'};{0.34676361048505394}
us1;{'admin_login'};{'POST:/api/v1/users/login'};{0.021994914711278943}
